ID,SiteName,Address,Lat,Long,SiteType,NiceSiteType,PlugTypes,AvailableCount,TotalPorts,IsPlannedSite,RequireCable,Costs
1,RAA Charge UPark Rundle Street,"187 Rundle Street, Adelaide SA 5000",-34.922894,138.6059549,7,Charging up to 22kW,Type 2,22,23,False,All ports require a cable,
2,RAA Charge Auto Park Gilles Street,"12-24 Gilles Street, Adelaide SA 5000",-34.933898,138.6011239,7,Charging at 7kW,Type 2,2,2,False,All ports require a cable,
3,RAA Charge UPark Grote Street,"82 Grote Street, Adelaide SA 5000",-34.928671,138.5958115,7,Charging at 7kW,Type 2,3,6,False,All ports require a cable,
4,RAA Charge Auto Park Wakefield Street,"102-120 Wakefield Street, Adelaide SA 5000",-34.928058,138.6044271,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
5,RAA Charge Waikerie," Strangman Rd, Waikerie SA 5330",-34.182134,139.9863235,200,Charging up to 200kW,"CCS2, CHAdeMO",2,4,False,No ports require a cable,
6,RAA Charge Burnside,"401 Greenhill Road, Tusmore SA 5065",-34.937936,138.6424809,200,Charging up to 200kW,"CCS2, Type 2",4,5,False,Some ports require a cable,
7,RAA Charge Hawker,"13 Wilpena Road, Hawker SA 5434",-31.887653,138.4232958,150,Charging up to 150kW,CCS2,2,2,False,No ports require a cable,
8,RAA Charge Waikerie Hotel Motel,"2 McCoy Street, Waikerie SA 5330",-34.179573,139.9850223,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
9,RAA Charge Comfort Inn Regal Park,"44 Barton Terrace East, North Adelaide SA 5006",-34.903624,138.5961912,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
10,RAA Charge UPark Frome Street,"22 Frome Street, Adelaide SA 5000",-34.92195,138.6080443,7,Charging at 7kW,Type 2,9,11,False,All ports require a cable,
11,RAA Charge UPark Light Square,"140 Currie Street, Adelaide SA 5000",-34.923947,138.5942548,7,Charging at 7kW,Type 2,6,6,False,Some ports require a cable,
12,RAA Charge Glenelg," Brighton Road, Glenelg East SA 5045",-34.984006,138.5206135,150,Charging up to 150kW,"CCS2, Type 2",3,3,False,Some ports require a cable,
13,RAA Charge Churchill Centre,"400 Churchill Road, Kilburn SA 5084",-34.86713,138.5828104,150,Charging up to 150kW,"CCS2, Type 2",2,3,False,Some ports require a cable,
14,RAA Charge Victor Harbor,"21 Torrens Street, Victor Harbor SA 5211",-35.553993,138.6200381,150,Charging up to 150kW,"Type 2, CCS2",4,4,False,Some ports require a cable,
15,RAA Charge UPark Topham Mall,"54 Waymouth Street, Adelaide SA 5000",-34.925357,138.5974987,7,Charging up to 22kW,Type 2,8,13,False,All ports require a cable,
16,RAA Charge CBD Franklin Street,"109 Franklin Street, Adelaide SA 5000",-34.92766,138.5952364,7,Charging up to 125kW,"CCS2, Type 2",2,4,False,Some ports require a cable,
17,RAA Charge UPark Wyatt Street,"18 Wyatt Street, Adelaide SA 5000",-34.925058,138.6040762,7,Charging up to 22kW,Type 2,9,16,False,Some ports require a cable,
18,RAA Charge Yalata,"66804 Eyre Highway, Yalata SA 5690",-31.496502,131.8127541,7,Charging up to 50kW,CCS2,2,2,False,No ports require a cable,
19,RAA Charge Bordertown," Adamson Terrace, Bordertown SA 5268",-36.308952,140.7815677,200,Charging up to 200kW,"Type 2, CCS2, CHAdeMO",4,5,False,Some ports require a cable,
20,RAA Charge Goolwa,"11 Cadell Street, Goolwa SA 5214",-35.502073,138.7813072,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,Some ports require a cable,
21,RAA Charge Loxton Courthouse Apartments,"45 Bookpurnong Terrace, Loxton SA 5333",-34.452086,140.5720624,7,Charging at 7kW,Type 2,3,3,False,Some ports require a cable,
22,RAA Charge Tailem Bend,"66 Princes Highway, Tailem Bend SA 5260",-35.257926,139.455134,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,No ports require a cable,
23,RAA Charge Port Augusta South,"20203 Augusta Highway, Port Augusta SA 5700",-32.511625,137.8036782,200,Charging up to 200kW,"CCS2, CHAdeMO, Type 2",5,5,False,Some ports require a cable,
24,RAA Charge Seaford," Commercial Rd and Main St, Seaford SA 5169",-35.187521,138.4779837,150,Charging up to 150kW,"Type 2, CCS2",3,3,False,Some ports require a cable,
25,RAA Charge Mount Gambier,"2 Sturt Street, Mount Gambier SA 5290",-37.830685,140.7804699,200,Charging up to 200kW,"CCS2, CHAdeMO, Type 2",5,10,False,Some ports require a cable,
26,RAA Charge Kingscote Playground,"7 Kingscote Terrace, Kingscote SA 5223",-35.654977,137.6410912,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
